customer_id,customer_name,gender,city,state,signup_date
88,Meena 88,Male,Ahmedabad,Gujarat,2024-04-10
89,Rahul 89,Male,Jaipur,Rajasthan,2025-04-06
90,Suresh 90,Male,Kochi,Kerala,2024-09-13
91,Kavya 91,Male,Hyderabad,Telangana,2024-08-05
92,Neha 92,Male,Bengaluru,Karnataka,2024-09-11
93,Rohan 93,Female,Chennai,Tamil Nadu,2024-12-24
94,Pooja 94,Male,Pune,Maharashtra,2025-01-27
95,Amit 95,Male,Mumbai,Maharashtra,2024-01-15
96,Divya 96,Female,Delhi,Delhi,2024-02-11
97,Nikhil 97,Female,Kolkata,West Bengal,2025-04-05
98,Swathi 98,Male,Ahmedabad,Gujarat,2024-03-03
99,Varun 99,Female,Jaipur,Rajasthan,2024-08-18
100,Aishwarya 100,Male,Kochi,Kerala,2024-02-21
